m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
10.598799705505371|4.145100116729736|261.1062927246094|0.0015|3318.789|0.0|2.0|1.0|InChI=1S/C24H51N.C4H8O2/c1-4-7-10-13-16-19-22-25(23-20-17-14-11-8-5-2)24-21-18-15-12-9-6-3;1-2-3-4(5)6/h4-24H2,1-3H3;2-3H2,1H3,(H,5,6)|CCCC(=O)O.CCCCCCCCN(CCCCCCCC)CCCCCCCC
8.122900009155273|3.724600076675415|243.1490020751953|0.0|0.0|0.0|0.0|0.0|InChI=1S/C18H36/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18/h18H,2-17H2,1H3|CCCCCCCCCCCCC1CCCCC1
1.9177000522613525|4.110199928283691|347.13861083984375|0.0018|2869.8679|0.0|1.0|1.0|InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2|OC1CCCC1
4.424300193786621|3.371299982070923|222.73660278320312|0.0085|2094.8799|0.0|1.0|1.0|InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3|CC(C)CC(C)O
4.521699905395508|4.092400074005127|432.77301025390625|0.0045|3593.4864|0.0|6.0|1.0|InChI=1S/C8H15N3.C2F6NO4S2/c1-10-5-3-7-11-6-2-4-9-8(10)11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h2-7H2,1H3;/q;-1/p+1|CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.7781999111175537|3.3984999656677246|221.1114044189453|0.0|0.0|0.0|0.0|0.0|InChI=1S/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9|Fc1c(F)c(F)c(F)c(F)c1F
3.9744999408721924|3.0445001125335693|236.01800537109375|0.0931|1191.2164|0.0|2.0|2.0|InChI=1S/C3H9NO/c1-4-2-3-5/h4-5H,2-3H2,1H3|CNCCO
5.110199928283691|4.167099952697754|450.6138000488281|0.0007|5692.9514|0.0|5.0|0.0|InChI=1S/C10H16N3.CHF3O3S/c1-2-3-6-12-8-9-13(10-12)7-4-5-11;2-1(3,4)8(5,6)7/h8-10H,2-4,6-7H2,1H3;(H,5,6,7)/q+1;/p-1|CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F
5.058700084686279|3.6226999759674072|244.32240295410156|0.0045|3113.292|0.0|3.0|0.0|InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3|CCOCCOCCOCC
5.764200210571289|4.1381001472473145|309.151611328125|0.0004|1451.7743|0.0|6.0|1.0|InChI=1S/C19H20F3N3O3/c20-19(21,22)14-3-1-4-15(13-14)24-17-16(5-2-6-23-17)18(26)28-12-9-25-7-10-27-11-8-25/h1-6,13H,7-12H2,(H,23,24)|O=C(OCCN1CCOCC1)c1cccnc1Nc1cccc(C(F)(F)F)c1
9.509499549865723|3.455399990081787|230.52940368652344|0.006|1976.1721|0.0|6.0|0.0|InChI=1S/C15H26O6/c1-4-7-13(16)19-10-12(21-15(18)9-6-3)11-20-14(17)8-5-2/h12H,4-11H2,1-3H3|CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
5.844600200653076|3.472100019454956|246.6840057373047|0.0056|1920.6858|0.0|4.0|0.0|InChI=1S/C9H16O4/c1-3-5-12-8(10)7-9(11)13-6-4-2/h3-7H2,1-2H3|CCCOC(=O)CC(=O)OCCC
5.153299808502197|3.8986001014709473|271.4259948730469|0.0|0.0|0.0|0.0|0.0|InChI=1S/2C8H11F3NO.Ni/c2*1-7(2,3)5(12)4-6(13)8(9,10)11;/h2*4,12H,1-3H3;/q2*-1;+2|CC(C)(C)C([NH-])=CC(=[OH+])C(F)(F)F.CC(C)(C)C([NH-])=CC(=[OH+])C(F)(F)F.[Ni+2]
2.956899881362915|4.364699840545654|475.14520263671875|0.0119|2506.7734|0.0|1.0|0.0|InChI=1S/C8H13N2.BrH/c1-3-4-5-10-7-6-9(2)8-10;/h3,6-8H,1,4-5H2,2H3;1H/q+1;/p-1|C=CCCn1cc[n+](C)c1.[Br-]
2.6903998851776123|4.405399799346924|423.86871337890625|0.0049|1479.6707|0.0|4.0|4.0|InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1|CC(C)(CO)[C@@H](O)C(O)=NCCCO
